Municípios,Gentílico,Índice de Desenvolvimento Humano Municipal (IDHM),PIB per capita,População no último censo,Hierarquia urbana,Área urbanizada,Densidade demográfica,Urbanização de vias públicas,Arborização de vias públicas,Região imediata,Mesorregião
Abaiara,cearense,628,"9859,67 R$",10038 pessoas,Centro Local (5),"3,19 km²","55,51 habitante por quilômetro quadrado",0 %,"92,5 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Acarape,cearense,606,"11888,66 R$",14027 pessoas,Centro Local (5) - Município integrante do Arranjo Populacional de Redenção - Acarape/CE,"2,28 km²","107,90 habitante por quilômetro quadrado","1,6 %","69,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Acaraú,cearense,601,"16051,99 R$",65264 pessoas,Centro Local (5),"16,33 km²","77,47 habitante por quilômetro quadrado","1,7 %","93,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Acopiara,cearense,595,"10322,74 R$",44962 pessoas,Centro de Zona B (4B),"5,46 km²","19,95 habitante por quilômetro quadrado","5,3 %","90,6 %",Iguatu - Centro Subregional A (3A),Iguatu
Aiuaba,cearense,569,"8621,26 R$",14076 pessoas,Centro Local (5),"2,07 km²","5,77 habitante por quilômetro quadrado","2,3 %","93,2 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Alcântaras,cearense,600,"8289,87 R$",11369 pessoas,Centro Local (5),"2,76 km²","83,74 habitante por quilômetro quadrado","3,1 %","98,4 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Altaneira,cearense,602,"9680,24 R$",6782 pessoas,Centro Local (5),"1,48 km²","93,32 habitante por quilômetro quadrado","15,7 %",38 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Alto Santo,cearense,601,"14447,21 R$",14155 pessoas,Centro Local (5),"2,10 km²","12,34 habitante por quilômetro quadrado",0 %,"83,6 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
Amontada,cearense,606,"15057,63 R$",42156 pessoas,Centro Local (5),"7,55 km²","35,88 habitante por quilômetro quadrado","0,9 %","82,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Antonina do Norte,cearense,599,"10666,5 R$",7245 pessoas,Centro Local (5),"1,50 km²","27,90 habitante por quilômetro quadrado","1,3 %","88,1 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Apuiarés,cearense,618,"8206,35 R$",12928 pessoas,Centro Local (5),"2,22 km²","23,77 habitante por quilômetro quadrado","15,1 %","96,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
